time_captured,wlk_8_sub_19_attitude.pitch
1970-01-01 00:00:00.000000000,-1.176513
1970-01-01 00:00:00.000000001,-1.175995
1970-01-01 00:00:00.000000002,-1.181566
1970-01-01 00:00:00.000000003,-1.184558
1970-01-01 00:00:00.000000004,-1.188805
1970-01-01 00:00:00.000000005,-1.193594
1970-01-01 00:00:00.000000006,-1.191317
1970-01-01 00:00:00.000000007,-1.18075
1970-01-01 00:00:00.000000008,-1.165273
1970-01-01 00:00:00.000000009,-1.151215
1970-01-01 00:00:00.000000010,-1.141976
1970-01-01 00:00:00.000000011,-1.138794
1970-01-01 00:00:00.000000012,-1.141081
1970-01-01 00:00:00.000000013,-1.148991
1970-01-01 00:00:00.000000014,-1.162974
1970-01-01 00:00:00.000000015,-1.179904
1970-01-01 00:00:00.000000016,-1.194939
1970-01-01 00:00:00.000000017,-1.2045370000000002
1970-01-01 00:00:00.000000018,-1.208533
1970-01-01 00:00:00.000000019,-1.209487
1970-01-01 00:00:00.000000020,-1.210209
1970-01-01 00:00:00.000000021,-1.210944
1970-01-01 00:00:00.000000022,-1.210274
1970-01-01 00:00:00.000000023,-1.203873
1970-01-01 00:00:00.000000024,-1.189236
1970-01-01 00:00:00.000000025,-1.169551
1970-01-01 00:00:00.000000026,-1.146042
1970-01-01 00:00:00.000000027,-1.122761
1970-01-01 00:00:00.000000028,-1.105769
1970-01-01 00:00:00.000000029,-1.099099
1970-01-01 00:00:00.000000030,-1.094388
1970-01-01 00:00:00.000000031,-1.08986
1970-01-01 00:00:00.000000032,-1.086501
1970-01-01 00:00:00.000000033,-1.0845129999999998
1970-01-01 00:00:00.000000034,-1.085983
1970-01-01 00:00:00.000000035,-1.0892700000000002
1970-01-01 00:00:00.000000036,-1.0921379999999998
1970-01-01 00:00:00.000000037,-1.0938
1970-01-01 00:00:00.000000038,-1.094547
1970-01-01 00:00:00.000000039,-1.097901
1970-01-01 00:00:00.000000040,-1.10272
1970-01-01 00:00:00.000000041,-1.108079
1970-01-01 00:00:00.000000042,-1.113657
1970-01-01 00:00:00.000000043,-1.118632
1970-01-01 00:00:00.000000044,-1.120212
1970-01-01 00:00:00.000000045,-1.11879
1970-01-01 00:00:00.000000046,-1.117457
1970-01-01 00:00:00.000000047,-1.117752
1970-01-01 00:00:00.000000048,-1.119073
1970-01-01 00:00:00.000000049,-1.120701
1970-01-01 00:00:00.000000050,-1.125815
1970-01-01 00:00:00.000000051,-1.137748
1970-01-01 00:00:00.000000052,-1.150246
