time_captured,wlk_7_sub_24_attitude.pitch
1970-01-01 00:00:00.000000000,-1.350992
1970-01-01 00:00:00.000000001,-1.375115
1970-01-01 00:00:00.000000002,-1.395954
1970-01-01 00:00:00.000000003,-1.411509
1970-01-01 00:00:00.000000004,-1.423222
1970-01-01 00:00:00.000000005,-1.432445
1970-01-01 00:00:00.000000006,-1.440557
1970-01-01 00:00:00.000000007,-1.447881
1970-01-01 00:00:00.000000008,-1.45385
1970-01-01 00:00:00.000000009,-1.459151
1970-01-01 00:00:00.000000010,-1.463275
1970-01-01 00:00:00.000000011,-1.466786
1970-01-01 00:00:00.000000012,-1.470207
1970-01-01 00:00:00.000000013,-1.47297
1970-01-01 00:00:00.000000014,-1.474101
1970-01-01 00:00:00.000000015,-1.4723
1970-01-01 00:00:00.000000016,-1.467765
1970-01-01 00:00:00.000000017,-1.460882
1970-01-01 00:00:00.000000018,-1.453299
1970-01-01 00:00:00.000000019,-1.445606
1970-01-01 00:00:00.000000020,-1.437692
1970-01-01 00:00:00.000000021,-1.427389
1970-01-01 00:00:00.000000022,-1.414589
1970-01-01 00:00:00.000000023,-1.4009790000000002
1970-01-01 00:00:00.000000024,-1.387101
1970-01-01 00:00:00.000000025,-1.374703
1970-01-01 00:00:00.000000026,-1.36634
1970-01-01 00:00:00.000000027,-1.360526
1970-01-01 00:00:00.000000028,-1.356482
1970-01-01 00:00:00.000000029,-1.356169
1970-01-01 00:00:00.000000030,-1.35946
1970-01-01 00:00:00.000000031,-1.364445
1970-01-01 00:00:00.000000032,-1.371282
1970-01-01 00:00:00.000000033,-1.379533
1970-01-01 00:00:00.000000034,-1.395525
1970-01-01 00:00:00.000000035,-1.421243
1970-01-01 00:00:00.000000036,-1.456065
1970-01-01 00:00:00.000000037,-1.497303
1970-01-01 00:00:00.000000038,-1.525368
1970-01-01 00:00:00.000000039,-1.503782
1970-01-01 00:00:00.000000040,-1.460039
1970-01-01 00:00:00.000000041,-1.412796
1970-01-01 00:00:00.000000042,-1.365425
1970-01-01 00:00:00.000000043,-1.316678
1970-01-01 00:00:00.000000044,-1.26699
