time_captured,wlk_15_sub_6_attitude.pitch
1970-01-01 00:00:00.000000000,-1.373824
1970-01-01 00:00:00.000000001,-1.367043
1970-01-01 00:00:00.000000002,-1.346017
1970-01-01 00:00:00.000000003,-1.312408
1970-01-01 00:00:00.000000004,-1.268278
1970-01-01 00:00:00.000000005,-1.224911
1970-01-01 00:00:00.000000006,-1.182597
1970-01-01 00:00:00.000000007,-1.14701
1970-01-01 00:00:00.000000008,-1.1210129999999998
1970-01-01 00:00:00.000000009,-1.105928
1970-01-01 00:00:00.000000010,-1.101252
1970-01-01 00:00:00.000000011,-1.106692
1970-01-01 00:00:00.000000012,-1.121076
1970-01-01 00:00:00.000000013,-1.146621
1970-01-01 00:00:00.000000014,-1.179727
1970-01-01 00:00:00.000000015,-1.2064290000000002
1970-01-01 00:00:00.000000016,-1.213677
1970-01-01 00:00:00.000000017,-1.195472
1970-01-01 00:00:00.000000018,-1.176401
1970-01-01 00:00:00.000000019,-1.168569
1970-01-01 00:00:00.000000020,-1.180749
1970-01-01 00:00:00.000000021,-1.205858
1970-01-01 00:00:00.000000022,-1.195874
1970-01-01 00:00:00.000000023,-1.180464
1970-01-01 00:00:00.000000024,-1.199806
1970-01-01 00:00:00.000000025,-1.247893
1970-01-01 00:00:00.000000026,-1.318427
1970-01-01 00:00:00.000000027,-1.38364
1970-01-01 00:00:00.000000028,-1.420745
1970-01-01 00:00:00.000000029,-1.451105
1970-01-01 00:00:00.000000030,-1.487421
1970-01-01 00:00:00.000000031,-1.515342
1970-01-01 00:00:00.000000032,-1.529655
1970-01-01 00:00:00.000000033,-1.519585
1970-01-01 00:00:00.000000034,-1.493263
1970-01-01 00:00:00.000000035,-1.467918
1970-01-01 00:00:00.000000036,-1.448065
1970-01-01 00:00:00.000000037,-1.427639
1970-01-01 00:00:00.000000038,-1.40457
1970-01-01 00:00:00.000000039,-1.378739
1970-01-01 00:00:00.000000040,-1.350189
1970-01-01 00:00:00.000000041,-1.3202
1970-01-01 00:00:00.000000042,-1.29118
1970-01-01 00:00:00.000000043,-1.26488
1970-01-01 00:00:00.000000044,-1.243087
1970-01-01 00:00:00.000000045,-1.228459
1970-01-01 00:00:00.000000046,-1.218998
1970-01-01 00:00:00.000000047,-1.212608
1970-01-01 00:00:00.000000048,-1.208319
1970-01-01 00:00:00.000000049,-1.20857
1970-01-01 00:00:00.000000050,-1.217751
1970-01-01 00:00:00.000000051,-1.236278
1970-01-01 00:00:00.000000052,-1.265622
1970-01-01 00:00:00.000000053,-1.301194
1970-01-01 00:00:00.000000054,-1.33345
1970-01-01 00:00:00.000000055,-1.34944
1970-01-01 00:00:00.000000056,-1.354139
1970-01-01 00:00:00.000000057,-1.355473
1970-01-01 00:00:00.000000058,-1.350379
1970-01-01 00:00:00.000000059,-1.328436
1970-01-01 00:00:00.000000060,-1.298036
1970-01-01 00:00:00.000000061,-1.259645
1970-01-01 00:00:00.000000062,-1.218138
1970-01-01 00:00:00.000000063,-1.176218
1970-01-01 00:00:00.000000064,-1.136678
1970-01-01 00:00:00.000000065,-1.104805
1970-01-01 00:00:00.000000066,-1.081464
1970-01-01 00:00:00.000000067,-1.069451
1970-01-01 00:00:00.000000068,-1.0711190000000002
1970-01-01 00:00:00.000000069,-1.084843
1970-01-01 00:00:00.000000070,-1.110352
1970-01-01 00:00:00.000000071,-1.145277
1970-01-01 00:00:00.000000072,-1.178404
1970-01-01 00:00:00.000000073,-1.197557
1970-01-01 00:00:00.000000074,-1.1876719999999998
1970-01-01 00:00:00.000000075,-1.163381
1970-01-01 00:00:00.000000076,-1.144328
1970-01-01 00:00:00.000000077,-1.1421709999999998
1970-01-01 00:00:00.000000078,-1.163776
