time_captured,wlk_7_sub_8_attitude.pitch
1970-01-01 00:00:00.000000000,-1.36747
1970-01-01 00:00:00.000000001,-1.368303
1970-01-01 00:00:00.000000002,-1.369062
1970-01-01 00:00:00.000000003,-1.367082
1970-01-01 00:00:00.000000004,-1.362061
1970-01-01 00:00:00.000000005,-1.360644
1970-01-01 00:00:00.000000006,-1.364097
1970-01-01 00:00:00.000000007,-1.365533
1970-01-01 00:00:00.000000008,-1.365464
1970-01-01 00:00:00.000000009,-1.364721
1970-01-01 00:00:00.000000010,-1.36043
1970-01-01 00:00:00.000000011,-1.352101
1970-01-01 00:00:00.000000012,-1.342032
1970-01-01 00:00:00.000000013,-1.337795
1970-01-01 00:00:00.000000014,-1.33962
1970-01-01 00:00:00.000000015,-1.34174
1970-01-01 00:00:00.000000016,-1.340996
1970-01-01 00:00:00.000000017,-1.337527
1970-01-01 00:00:00.000000018,-1.333648
1970-01-01 00:00:00.000000019,-1.329435
1970-01-01 00:00:00.000000020,-1.325072
1970-01-01 00:00:00.000000021,-1.32191
1970-01-01 00:00:00.000000022,-1.32106
1970-01-01 00:00:00.000000023,-1.319975
1970-01-01 00:00:00.000000024,-1.3192959999999998
1970-01-01 00:00:00.000000025,-1.318761
1970-01-01 00:00:00.000000026,-1.3198219999999998
1970-01-01 00:00:00.000000027,-1.319967
1970-01-01 00:00:00.000000028,-1.319311
1970-01-01 00:00:00.000000029,-1.320094
1970-01-01 00:00:00.000000030,-1.319109
1970-01-01 00:00:00.000000031,-1.317425
1970-01-01 00:00:00.000000032,-1.317882
1970-01-01 00:00:00.000000033,-1.316302
1970-01-01 00:00:00.000000034,-1.3140040000000002
1970-01-01 00:00:00.000000035,-1.313354
1970-01-01 00:00:00.000000036,-1.310272
1970-01-01 00:00:00.000000037,-1.308062
1970-01-01 00:00:00.000000038,-1.306885
1970-01-01 00:00:00.000000039,-1.305417
1970-01-01 00:00:00.000000040,-1.302455
1970-01-01 00:00:00.000000041,-1.298753
1970-01-01 00:00:00.000000042,-1.29551
1970-01-01 00:00:00.000000043,-1.295063
1970-01-01 00:00:00.000000044,-1.296052
1970-01-01 00:00:00.000000045,-1.296624
1970-01-01 00:00:00.000000046,-1.29746
1970-01-01 00:00:00.000000047,-1.298381
1970-01-01 00:00:00.000000048,-1.298853
1970-01-01 00:00:00.000000049,-1.2996379999999998
1970-01-01 00:00:00.000000050,-1.300238
1970-01-01 00:00:00.000000051,-1.302033
1970-01-01 00:00:00.000000052,-1.304189
1970-01-01 00:00:00.000000053,-1.306393
1970-01-01 00:00:00.000000054,-1.309692
1970-01-01 00:00:00.000000055,-1.314056
1970-01-01 00:00:00.000000056,-1.319431
1970-01-01 00:00:00.000000057,-1.324219
1970-01-01 00:00:00.000000058,-1.329141
1970-01-01 00:00:00.000000059,-1.334582
1970-01-01 00:00:00.000000060,-1.340079
1970-01-01 00:00:00.000000061,-1.345163
1970-01-01 00:00:00.000000062,-1.351421
1970-01-01 00:00:00.000000063,-1.358487
1970-01-01 00:00:00.000000064,-1.364524
1970-01-01 00:00:00.000000065,-1.368462
1970-01-01 00:00:00.000000066,-1.3701219999999998
1970-01-01 00:00:00.000000067,-1.371341
1970-01-01 00:00:00.000000068,-1.3743
1970-01-01 00:00:00.000000069,-1.378294
1970-01-01 00:00:00.000000070,-1.382661
1970-01-01 00:00:00.000000071,-1.3883219999999998
1970-01-01 00:00:00.000000072,-1.395907
1970-01-01 00:00:00.000000073,-1.403403
1970-01-01 00:00:00.000000074,-1.408921
1970-01-01 00:00:00.000000075,-1.410603
1970-01-01 00:00:00.000000076,-1.41045
1970-01-01 00:00:00.000000077,-1.41021
1970-01-01 00:00:00.000000078,-1.408542
1970-01-01 00:00:00.000000079,-1.404605
1970-01-01 00:00:00.000000080,-1.399016
1970-01-01 00:00:00.000000081,-1.393421
1970-01-01 00:00:00.000000082,-1.3884729999999998
1970-01-01 00:00:00.000000083,-1.384994
1970-01-01 00:00:00.000000084,-1.382567
1970-01-01 00:00:00.000000085,-1.379769
